R,d,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41
1.5,3,0.1299864,0.2038429,0.2171571,0.2055745,0.1388753,0.1045638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,17,0.001491179,0.002580906,0.003653027,0.005228674,0.006760577,0.008998457,0.011104967,0.014169819,0.016901583,0.020916114,0.024264911,0.029205886,0.032780378,0.038384737,0.041737661,0.047517838,0.04954175,0.054458844,0.054343313,0.059367143,0.057560872,0.06119776,0.055329747,0.056861901,0.047281926,0.047435847,0.036922371,0.03546967,0.024136214,0.021987304,0.012469342,0.010993533,0.005146966,0.003798786,0,0,0,0,0,0,0
1.5,19,0.001477361,0.002551641,0.00360251,0.00513459,0.006627267,0.008809341,0.010858101,0.013820695,0.016448312,0.020342228,0.02355095,0.028224049,0.031645074,0.036877924,0.039881904,0.045263233,0.04704411,0.051803963,0.051342636,0.055274619,0.052825936,0.055928733,0.051121927,0.053255632,0.046194761,0.046066306,0.035924966,0.035002309,0.025470618,0.025057444,0.018537604,0.017711303,0.012154891,0.010958889,0.005579523,0.004707948,0.00165933,0.001261373,0,0,0
3,3,0.03490023,0.08493307,0.12176665,0.21811479,0.21608644,0.32419883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6,0.001270435,0.003154708,0.00504406,0.010622269,0.016034332,0.031855564,0.045222449,0.086053866,0.111827251,0.199525779,0.197394883,0.291994405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,8,0.000154669,0.000371466,0.000607687,0.001249822,0.001962524,0.003873212,0.005983778,0.011581676,0.017469982,0.033186916,0.04839982,0.088977998,0.11809856,0.200068486,0.201052476,0.266960928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3,0.006573965,0.026015566,0.043592215,0.146292367,0.195281712,0.582244176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,5,0.000199944,0.000769329,0.001386124,0.004762672,0.008373316,0.027933765,0.046693582,0.150308235,0.200290552,0.559282481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
